Date,MonthDay,FL,Race
2008-07-09,9-Jul,204,S
2008-07-10,10-Jul,204,S
2008-07-11,11-Jul,204,S
2008-07-12,12-Jul,204,S
2008-07-13,13-Jul,204,S
2008-07-14,14-Jul,204,S
2008-07-15,15-Jul,204,S
2008-07-16,16-Jul,204,S
2008-07-17,17-Jul,204,S
2008-07-18,18-Jul,204,S
2008-07-19,19-Jul,204,S
2008-07-20,20-Jul,204,S
2008-07-21,21-Jul,204,S
2008-07-22,22-Jul,204,S
2008-07-23,23-Jul,204,S
2008-07-24,24-Jul,204,S
2008-07-25,25-Jul,204,S
2008-07-26,26-Jul,204,S
2008-07-27,27-Jul,204,S
2008-07-28,28-Jul,204,S
2008-07-29,29-Jul,204,S
2008-07-30,30-Jul,204,S
2008-07-31,31-Jul,204,S
2008-08-01,1-Aug,204,S
2008-08-02,2-Aug,204,S
2008-08-03,3-Aug,204,S
2008-08-04,4-Aug,204,S
2008-08-05,5-Aug,204,S
2008-08-06,6-Aug,204,S
2008-08-07,7-Aug,204,S
2008-08-08,8-Aug,204,S
2008-08-09,9-Aug,204,S
2008-08-10,10-Aug,204,S
2008-08-11,11-Aug,204,S
2008-08-12,12-Aug,204,S
2008-08-13,13-Aug,204,S
2008-08-14,14-Aug,204,S
2008-08-15,15-Aug,204,S
2008-08-16,16-Aug,204,S
2008-08-17,17-Aug,204,S
2008-08-18,18-Aug,204,S
2008-08-19,19-Aug,204,S
2008-08-20,20-Aug,204,S
2008-08-21,21-Aug,204,S
2008-08-22,22-Aug,204,S
2008-08-23,23-Aug,204,S
2008-08-24,24-Aug,204,S
2008-08-25,25-Aug,204,S
2008-08-26,26-Aug,204,S
2008-08-27,27-Aug,204,S
2008-08-28,28-Aug,204,S
2008-08-29,29-Aug,204,S
2008-08-30,30-Aug,204,S
2008-08-31,31-Aug,204,S
2008-09-01,1-Sep,204,S
2008-09-02,2-Sep,204,S
2008-09-03,3-Sep,204,S
2008-09-04,4-Sep,204,F
2008-09-05,5-Sep,204,F
2008-09-06,6-Sep,204,F
2008-09-07,7-Sep,204,F
2008-09-08,8-Sep,204,F
2008-09-09,9-Sep,204,F
2008-09-10,10-Sep,204,F
2008-09-11,11-Sep,204,F
2008-09-12,12-Sep,204,F
2008-09-13,13-Sep,204,F
2008-09-14,14-Sep,204,F
2008-09-15,15-Sep,204,F
2008-09-16,16-Sep,204,F
2008-09-17,17-Sep,204,F
2008-09-18,18-Sep,204,F
2008-09-19,19-Sep,204,F
2008-09-20,20-Sep,204,F
2008-09-21,21-Sep,204,F
2008-09-22,22-Sep,204,F
2008-09-23,23-Sep,204,F
2008-09-24,24-Sep,204,F
2008-09-25,25-Sep,204,F
2008-09-26,26-Sep,204,F
2008-09-27,27-Sep,204,F
2008-09-28,28-Sep,204,F
2008-09-29,29-Sep,204,F
2008-09-30,30-Sep,204,F
2008-10-01,1-Oct,204,F
2008-10-02,2-Oct,204,F
2008-10-03,3-Oct,204,F
2008-10-04,4-Oct,204,F
2008-10-05,5-Oct,204,F
2008-10-06,6-Oct,204,F
2008-10-07,7-Oct,204,F
2008-10-08,8-Oct,204,F
2008-10-09,9-Oct,204,F
2008-10-10,10-Oct,204,F
2008-10-11,11-Oct,204,F
2008-10-12,12-Oct,204,F
2008-10-13,13-Oct,204,F
2008-10-14,14-Oct,204,F
2008-10-15,15-Oct,204,F
2008-10-16,16-Oct,204,F
2008-10-17,17-Oct,204,F
2008-10-18,18-Oct,204,F
2008-10-19,19-Oct,204,F
2008-10-20,20-Oct,204,F
2008-10-21,21-Oct,204,F
2008-10-22,22-Oct,204,F
2008-10-23,23-Oct,204,F
2008-10-24,24-Oct,204,F
2008-10-25,25-Oct,204,F
2008-10-26,26-Oct,204,F
2008-10-27,27-Oct,204,F
2008-10-28,28-Oct,204,F
2008-10-29,29-Oct,204,F
2008-10-30,30-Oct,204,F
2008-10-31,31-Oct,204,F
2008-11-01,1-Nov,204,F
2008-11-02,2-Nov,204,F
2008-11-03,3-Nov,204,F
2008-11-04,4-Nov,204,F
2008-11-05,5-Nov,204,F
2008-11-06,6-Nov,204,F
2008-11-07,7-Nov,204,F
2008-11-08,8-Nov,204,F
2008-11-09,9-Nov,204,F
2008-11-10,10-Nov,204,F
2008-11-11,11-Nov,204,F
2008-11-12,12-Nov,204,F
2008-11-13,13-Nov,204,F
2008-11-14,14-Nov,204,F
2008-11-15,15-Nov,204,F
2008-11-16,16-Nov,204,F
2008-11-17,17-Nov,204,F
2008-11-18,18-Nov,204,F
2008-11-19,19-Nov,204,F
2008-11-20,20-Nov,204,F
2008-11-21,21-Nov,204,F
2008-11-22,22-Nov,204,F
2008-11-23,23-Nov,204,F
2008-11-24,24-Nov,204,F
2008-11-25,25-Nov,204,F
2008-11-26,26-Nov,204,F
2008-11-27,27-Nov,204,F
2008-11-28,28-Nov,204,F
2008-11-29,29-Nov,204,F
2008-11-30,30-Nov,204,F
2008-12-01,1-Dec,204,F
2008-12-02,2-Dec,204,F
2008-12-03,3-Dec,204,F
2008-12-04,4-Dec,204,F
2008-12-05,5-Dec,204,F
2008-12-06,6-Dec,204,F
2008-12-07,7-Dec,204,F
2008-12-08,8-Dec,204,F
2008-12-09,9-Dec,204,F
2008-12-10,10-Dec,204,F
2008-12-11,11-Dec,204,F
2008-12-12,12-Dec,204,F
2008-12-13,13-Dec,204,F
2008-12-14,14-Dec,204,F
2008-12-15,15-Dec,204,F
2008-12-16,16-Dec,204,F
2008-12-17,17-Dec,204,F
2008-12-18,18-Dec,204,F
2008-12-19,19-Dec,204,F
2008-12-20,20-Dec,204,F
2008-12-21,21-Dec,204,F
2008-12-22,22-Dec,204,F
2008-12-23,23-Dec,204,F
2008-12-24,24-Dec,204,F
2008-12-25,25-Dec,204,F
2008-12-26,26-Dec,204,F
2008-12-27,27-Dec,204,F
2008-12-28,28-Dec,204,F
2008-12-29,29-Dec,204,F
2008-12-30,30-Dec,204,F
2008-12-31,31-Dec,204,F
2008-01-01,1-Jan,205,F
2008-01-02,2-Jan,205,F
2008-01-03,3-Jan,205,F
2008-01-04,4-Jan,205,LF
2008-01-05,5-Jan,205,LF
2008-01-06,6-Jan,205,LF
2008-01-07,7-Jan,205,LF
2008-01-08,8-Jan,205,LF
2008-01-09,9-Jan,205,LF
2008-01-10,10-Jan,205,LF
2008-01-11,11-Jan,205,LF
2008-01-12,12-Jan,205,LF
2008-01-13,13-Jan,205,LF
2008-01-14,14-Jan,205,LF
2008-01-15,15-Jan,205,LF
2008-01-16,16-Jan,205,LF
2008-01-17,17-Jan,205,LF
2008-01-18,18-Jan,205,LF
2008-01-19,19-Jan,205,LF
2008-01-20,20-Jan,205,LF
2008-01-21,21-Jan,205,LF
2008-01-22,22-Jan,205,LF
2008-01-23,23-Jan,205,LF
2008-01-24,24-Jan,205,LF
2008-01-25,25-Jan,205,LF
2008-01-26,26-Jan,205,LF
2008-01-27,27-Jan,205,LF
2008-01-28,28-Jan,205,LF
2008-01-29,29-Jan,205,LF
2008-01-30,30-Jan,205,LF
2008-01-31,31-Jan,205,LF
2008-02-01,1-Feb,205,LF
2008-02-02,2-Feb,205,LF
2008-02-03,3-Feb,205,LF
2008-02-04,4-Feb,205,LF
2008-02-05,5-Feb,205,W
2008-02-06,6-Feb,205,W
2008-02-07,7-Feb,205,W
2008-02-08,8-Feb,205,W
2008-02-09,9-Feb,205,W
2008-02-10,10-Feb,205,W
2008-02-11,11-Feb,205,W
2008-02-12,12-Feb,205,W
2008-02-13,13-Feb,205,W
2008-02-14,14-Feb,205,W
2008-02-15,15-Feb,205,W
2008-02-16,16-Feb,205,W
2008-02-17,17-Feb,205,W
2008-02-18,18-Feb,205,W
2008-02-19,19-Feb,205,W
2008-02-20,20-Feb,205,W
2008-02-21,21-Feb,205,W
2008-02-22,22-Feb,205,W
2008-02-23,23-Feb,205,W
2008-02-24,24-Feb,205,W
2008-02-25,25-Feb,205,W
2008-02-26,26-Feb,205,W
2008-02-27,27-Feb,205,W
2008-02-28,28-Feb,205,W
2008-02-29,29-Feb,205,W
2008-03-01,1-Mar,205,W
2008-03-02,2-Mar,205,W
2008-03-03,3-Mar,205,W
2008-03-04,4-Mar,205,W
2008-03-05,5-Mar,205,W
2008-03-06,6-Mar,205,W
2008-03-07,7-Mar,205,W
2008-03-08,8-Mar,205,W
2008-03-09,9-Mar,205,W
2008-03-10,10-Mar,205,W
2008-03-11,11-Mar,205,W
2008-03-12,12-Mar,205,W
2008-03-13,13-Mar,205,W
2008-03-14,14-Mar,205,W
2008-03-15,15-Mar,205,W
2008-03-16,16-Mar,205,W
2008-03-17,17-Mar,205,W
2008-03-18,18-Mar,205,W
2008-03-19,19-Mar,205,W
2008-03-20,20-Mar,205,W
2008-03-21,21-Mar,205,W
2008-03-22,22-Mar,205,W
2008-03-23,23-Mar,205,W
2008-03-24,24-Mar,205,W
2008-03-25,25-Mar,205,W
2008-03-26,26-Mar,205,W
2008-03-27,27-Mar,205,W
2008-03-28,28-Mar,205,W
2008-03-29,29-Mar,205,W
2008-03-30,30-Mar,205,W
2008-03-31,31-Mar,205,W
2008-04-01,1-Apr,205,W
2008-04-02,2-Apr,205,W
2008-04-03,3-Apr,205,W
2008-04-04,4-Apr,205,W
2008-04-05,5-Apr,205,W
2008-04-06,6-Apr,205,W
2008-04-07,7-Apr,205,W
2008-04-08,8-Apr,205,W
2008-04-09,9-Apr,205,W
2008-04-10,10-Apr,205,W
2008-04-11,11-Apr,205,W
2008-04-12,12-Apr,205,W
2008-04-13,13-Apr,205,W
2008-04-14,14-Apr,205,W
2008-04-15,15-Apr,205,W
2008-04-16,16-Apr,205,W
2008-04-17,17-Apr,205,W
2008-04-18,18-Apr,205,W
2008-04-19,19-Apr,205,W
2008-04-20,20-Apr,205,W
2008-04-21,21-Apr,205,W
2008-04-22,22-Apr,205,W
2008-04-23,23-Apr,205,W
2008-04-24,24-Apr,205,W
2008-04-25,25-Apr,205,W
2008-04-26,26-Apr,205,W
2008-04-27,27-Apr,205,W
2008-04-28,28-Apr,205,W
2008-04-29,29-Apr,205,W
2008-04-30,30-Apr,205,W
2008-05-01,1-May,205,W
2008-05-02,2-May,205,W
2008-05-03,3-May,205,W
2008-05-04,4-May,205,W
2008-05-05,5-May,205,W
2008-05-06,6-May,205,W
2008-05-07,7-May,205,W
2008-05-08,8-May,205,W
2008-05-09,9-May,205,W
2008-05-10,10-May,205,W
2008-05-11,11-May,205,W
2008-05-12,12-May,205,W
2008-05-13,13-May,205,W
2008-05-14,14-May,205,W
2008-05-15,15-May,205,W
2008-05-16,16-May,205,W
2008-05-17,17-May,205,W
2008-05-18,18-May,205,W
2008-05-19,19-May,205,W
2008-05-20,20-May,205,W
2008-05-21,21-May,205,W
2008-05-22,22-May,205,W
2008-05-23,23-May,205,W
2008-05-24,24-May,205,W
2008-05-25,25-May,205,W
2008-05-26,26-May,205,W
2008-05-27,27-May,205,W
2008-05-28,28-May,205,W
2008-05-29,29-May,205,W
2008-05-30,30-May,205,W
2008-05-31,31-May,205,W
2008-06-01,1-Jun,205,W
2008-06-02,2-Jun,205,W
2008-06-03,3-Jun,205,W
2008-06-04,4-Jun,205,W
2008-06-05,5-Jun,205,S
2008-06-06,6-Jun,205,S
2008-06-07,7-Jun,205,S
2008-06-08,8-Jun,205,S
2008-06-09,9-Jun,205,S
2008-06-10,10-Jun,205,S
2008-06-11,11-Jun,205,S
2008-06-12,12-Jun,205,S
2008-06-13,13-Jun,205,S
2008-06-14,14-Jun,205,S
2008-06-15,15-Jun,205,S
2008-06-16,16-Jun,205,S
2008-06-17,17-Jun,205,S
2008-06-18,18-Jun,205,S
2008-06-19,19-Jun,205,S
2008-06-20,20-Jun,205,S
2008-06-21,21-Jun,205,S
2008-06-22,22-Jun,205,S
2008-06-23,23-Jun,205,S
2008-06-24,24-Jun,205,S
2008-06-25,25-Jun,205,S
2008-06-26,26-Jun,205,S
2008-06-27,27-Jun,205,S
2008-06-28,28-Jun,205,S
2008-06-29,29-Jun,205,S
2008-06-30,30-Jun,205,S
2008-07-01,1-Jul,205,S
2008-07-02,2-Jul,205,S
2008-07-03,3-Jul,205,S
2008-07-04,4-Jul,205,S
2008-07-05,5-Jul,205,S
2008-07-06,6-Jul,205,S
2008-07-07,7-Jul,205,S
2008-07-08,8-Jul,205,S
2008-07-09,9-Jul,205,S
2008-07-10,10-Jul,205,S
2008-07-11,11-Jul,205,S
2008-07-12,12-Jul,205,S
2008-07-13,13-Jul,205,S
2008-07-14,14-Jul,205,S
2008-07-15,15-Jul,205,S
2008-07-16,16-Jul,205,S
2008-07-17,17-Jul,205,S
2008-07-18,18-Jul,205,S
2008-07-19,19-Jul,205,S
2008-07-20,20-Jul,205,S
2008-07-21,21-Jul,205,S
2008-07-22,22-Jul,205,S
2008-07-23,23-Jul,205,S
2008-07-24,24-Jul,205,S
2008-07-25,25-Jul,205,S
2008-07-26,26-Jul,205,S
2008-07-27,27-Jul,205,S
2008-07-28,28-Jul,205,S
2008-07-29,29-Jul,205,S
2008-07-30,30-Jul,205,S
2008-07-31,31-Jul,205,S
2008-08-01,1-Aug,205,S
2008-08-02,2-Aug,205,S
2008-08-03,3-Aug,205,S
2008-08-04,4-Aug,205,S
2008-08-05,5-Aug,205,S
2008-08-06,6-Aug,205,S
2008-08-07,7-Aug,205,S
2008-08-08,8-Aug,205,S
2008-08-09,9-Aug,205,S
2008-08-10,10-Aug,205,S
2008-08-11,11-Aug,205,S
2008-08-12,12-Aug,205,S
2008-08-13,13-Aug,205,S
2008-08-14,14-Aug,205,S
2008-08-15,15-Aug,205,S
2008-08-16,16-Aug,205,S
2008-08-17,17-Aug,205,S
2008-08-18,18-Aug,205,S
2008-08-19,19-Aug,205,S
2008-08-20,20-Aug,205,S
2008-08-21,21-Aug,205,S
2008-08-22,22-Aug,205,S
2008-08-23,23-Aug,205,S
2008-08-24,24-Aug,205,S
2008-08-25,25-Aug,205,S
2008-08-26,26-Aug,205,S
2008-08-27,27-Aug,205,S
2008-08-28,28-Aug,205,S
2008-08-29,29-Aug,205,S
2008-08-30,30-Aug,205,S
2008-08-31,31-Aug,205,S
2008-09-01,1-Sep,205,S
2008-09-02,2-Sep,205,S
2008-09-03,3-Sep,205,S
2008-09-04,4-Sep,205,S
2008-09-05,5-Sep,205,F
2008-09-06,6-Sep,205,F
2008-09-07,7-Sep,205,F
2008-09-08,8-Sep,205,F
2008-09-09,9-Sep,205,F
2008-09-10,10-Sep,205,F
2008-09-11,11-Sep,205,F
2008-09-12,12-Sep,205,F
2008-09-13,13-Sep,205,F
2008-09-14,14-Sep,205,F
2008-09-15,15-Sep,205,F
2008-09-16,16-Sep,205,F
2008-09-17,17-Sep,205,F
2008-09-18,18-Sep,205,F
2008-09-19,19-Sep,205,F
2008-09-20,20-Sep,205,F
2008-09-21,21-Sep,205,F
2008-09-22,22-Sep,205,F
2008-09-23,23-Sep,205,F
2008-09-24,24-Sep,205,F
2008-09-25,25-Sep,205,F
2008-09-26,26-Sep,205,F
2008-09-27,27-Sep,205,F
2008-09-28,28-Sep,205,F
2008-09-29,29-Sep,205,F
2008-09-30,30-Sep,205,F
2008-10-01,1-Oct,205,F
2008-10-02,2-Oct,205,F
2008-10-03,3-Oct,205,F
2008-10-04,4-Oct,205,F
2008-10-05,5-Oct,205,F
2008-10-06,6-Oct,205,F
2008-10-07,7-Oct,205,F
2008-10-08,8-Oct,205,F
2008-10-09,9-Oct,205,F
2008-10-10,10-Oct,205,F
2008-10-11,11-Oct,205,F
2008-10-12,12-Oct,205,F
2008-10-13,13-Oct,205,F
2008-10-14,14-Oct,205,F
2008-10-15,15-Oct,205,F
2008-10-16,16-Oct,205,F
2008-10-17,17-Oct,205,F
2008-10-18,18-Oct,205,F
2008-10-19,19-Oct,205,F
2008-10-20,20-Oct,205,F
2008-10-21,21-Oct,205,F
2008-10-22,22-Oct,205,F
2008-10-23,23-Oct,205,F
2008-10-24,24-Oct,205,F
2008-10-25,25-Oct,205,F
2008-10-26,26-Oct,205,F
2008-10-27,27-Oct,205,F
2008-10-28,28-Oct,205,F
2008-10-29,29-Oct,205,F
2008-10-30,30-Oct,205,F
2008-10-31,31-Oct,205,F
2008-11-01,1-Nov,205,F
2008-11-02,2-Nov,205,F
2008-11-03,3-Nov,205,F
2008-11-04,4-Nov,205,F
2008-11-05,5-Nov,205,F
2008-11-06,6-Nov,205,F
2008-11-07,7-Nov,205,F
2008-11-08,8-Nov,205,F
2008-11-09,9-Nov,205,F
2008-11-10,10-Nov,205,F
2008-11-11,11-Nov,205,F
2008-11-12,12-Nov,205,F
2008-11-13,13-Nov,205,F
2008-11-14,14-Nov,205,F
2008-11-15,15-Nov,205,F
2008-11-16,16-Nov,205,F
2008-11-17,17-Nov,205,F
2008-11-18,18-Nov,205,F
2008-11-19,19-Nov,205,F
2008-11-20,20-Nov,205,F
2008-11-21,21-Nov,205,F
2008-11-22,22-Nov,205,F
2008-11-23,23-Nov,205,F
2008-11-24,24-Nov,205,F
2008-11-25,25-Nov,205,F
2008-11-26,26-Nov,205,F
2008-11-27,27-Nov,205,F
2008-11-28,28-Nov,205,F
2008-11-29,29-Nov,205,F
2008-11-30,30-Nov,205,F
2008-12-01,1-Dec,205,F
2008-12-02,2-Dec,205,F
2008-12-03,3-Dec,205,F
2008-12-04,4-Dec,205,F
2008-12-05,5-Dec,205,F
2008-12-06,6-Dec,205,F
2008-12-07,7-Dec,205,F
2008-12-08,8-Dec,205,F
2008-12-09,9-Dec,205,F
2008-12-10,10-Dec,205,F
2008-12-11,11-Dec,205,F
2008-12-12,12-Dec,205,F
2008-12-13,13-Dec,205,F
2008-12-14,14-Dec,205,F
2008-12-15,15-Dec,205,F
2008-12-16,16-Dec,205,F
2008-12-17,17-Dec,205,F
2008-12-18,18-Dec,205,F
2008-12-19,19-Dec,205,F
2008-12-20,20-Dec,205,F
2008-12-21,21-Dec,205,F
2008-12-22,22-Dec,205,F
2008-12-23,23-Dec,205,F
2008-12-24,24-Dec,205,F
2008-12-25,25-Dec,205,F
2008-12-26,26-Dec,205,F
2008-12-27,27-Dec,205,F
2008-12-28,28-Dec,205,F
2008-12-29,29-Dec,205,F
2008-12-30,30-Dec,205,F
2008-12-31,31-Dec,205,F
2008-01-01,1-Jan,206,F
2008-01-02,2-Jan,206,F
2008-01-03,3-Jan,206,F
2008-01-04,4-Jan,206,F
2008-01-05,5-Jan,206,LF
2008-01-06,6-Jan,206,LF
2008-01-07,7-Jan,206,LF
2008-01-08,8-Jan,206,LF
2008-01-09,9-Jan,206,LF
2008-01-10,10-Jan,206,LF
2008-01-11,11-Jan,206,LF
2008-01-12,12-Jan,206,LF
2008-01-13,13-Jan,206,LF
2008-01-14,14-Jan,206,LF
2008-01-15,15-Jan,206,LF
2008-01-16,16-Jan,206,LF
2008-01-17,17-Jan,206,LF
2008-01-18,18-Jan,206,LF
2008-01-19,19-Jan,206,LF
2008-01-20,20-Jan,206,LF
2008-01-21,21-Jan,206,LF
2008-01-22,22-Jan,206,LF
2008-01-23,23-Jan,206,LF
2008-01-24,24-Jan,206,LF
2008-01-25,25-Jan,206,LF
2008-01-26,26-Jan,206,LF
2008-01-27,27-Jan,206,LF
2008-01-28,28-Jan,206,LF
2008-01-29,29-Jan,206,LF
2008-01-30,30-Jan,206,LF
2008-01-31,31-Jan,206,LF
2008-02-01,1-Feb,206,LF
2008-02-02,2-Feb,206,LF
2008-02-03,3-Feb,206,LF
2008-02-04,4-Feb,206,LF
2008-02-05,5-Feb,206,W
2008-02-06,6-Feb,206,W
2008-02-07,7-Feb,206,W
2008-02-08,8-Feb,206,W
2008-02-09,9-Feb,206,W
2008-02-10,10-Feb,206,W
2008-02-11,11-Feb,206,W
2008-02-12,12-Feb,206,W
2008-02-13,13-Feb,206,W
2008-02-14,14-Feb,206,W
2008-02-15,15-Feb,206,W
2008-02-16,16-Feb,206,W
2008-02-17,17-Feb,206,W
2008-02-18,18-Feb,206,W
2008-02-19,19-Feb,206,W
2008-02-20,20-Feb,206,W
2008-02-21,21-Feb,206,W
2008-02-22,22-Feb,206,W
2008-02-23,23-Feb,206,W
2008-02-24,24-Feb,206,W
2008-02-25,25-Feb,206,W
2008-02-26,26-Feb,206,W
2008-02-27,27-Feb,206,W
2008-02-28,28-Feb,206,W
2008-02-29,29-Feb,206,W
2008-03-01,1-Mar,206,W
2008-03-02,2-Mar,206,W
2008-03-03,3-Mar,206,W
2008-03-04,4-Mar,206,W
2008-03-05,5-Mar,206,W
2008-03-06,6-Mar,206,W
2008-03-07,7-Mar,206,W
2008-03-08,8-Mar,206,W
2008-03-09,9-Mar,206,W
2008-03-10,10-Mar,206,W
2008-03-11,11-Mar,206,W
2008-03-12,12-Mar,206,W
2008-03-13,13-Mar,206,W
2008-03-14,14-Mar,206,W
2008-03-15,15-Mar,206,W
2008-03-16,16-Mar,206,W
2008-03-17,17-Mar,206,W
2008-03-18,18-Mar,206,W
2008-03-19,19-Mar,206,W
2008-03-20,20-Mar,206,W
2008-03-21,21-Mar,206,W
2008-03-22,22-Mar,206,W
2008-03-23,23-Mar,206,W
2008-03-24,24-Mar,206,W
2008-03-25,25-Mar,206,W
2008-03-26,26-Mar,206,W
2008-03-27,27-Mar,206,W
2008-03-28,28-Mar,206,W
2008-03-29,29-Mar,206,W
2008-03-30,30-Mar,206,W
2008-03-31,31-Mar,206,W
2008-04-01,1-Apr,206,W
2008-04-02,2-Apr,206,W
2008-04-03,3-Apr,206,W
2008-04-04,4-Apr,206,W
2008-04-05,5-Apr,206,W
2008-04-06,6-Apr,206,W
2008-04-07,7-Apr,206,W
2008-04-08,8-Apr,206,W
2008-04-09,9-Apr,206,W
2008-04-10,10-Apr,206,W
2008-04-11,11-Apr,206,W
2008-04-12,12-Apr,206,W
2008-04-13,13-Apr,206,W
2008-04-14,14-Apr,206,W
2008-04-15,15-Apr,206,W
2008-04-16,16-Apr,206,W
2008-04-17,17-Apr,206,W
2008-04-18,18-Apr,206,W
2008-04-19,19-Apr,206,W
2008-04-20,20-Apr,206,W
2008-04-21,21-Apr,206,W
2008-04-22,22-Apr,206,W
2008-04-23,23-Apr,206,W
2008-04-24,24-Apr,206,W
2008-04-25,25-Apr,206,W
2008-04-26,26-Apr,206,W
2008-04-27,27-Apr,206,W
2008-04-28,28-Apr,206,W
2008-04-29,29-Apr,206,W
2008-04-30,30-Apr,206,W
2008-05-01,1-May,206,W
2008-05-02,2-May,206,W
2008-05-03,3-May,206,W
2008-05-04,4-May,206,W
2008-05-05,5-May,206,W
2008-05-06,6-May,206,W
2008-05-07,7-May,206,W
2008-05-08,8-May,206,W
2008-05-09,9-May,206,W
2008-05-10,10-May,206,W
2008-05-11,11-May,206,W
2008-05-12,12-May,206,W
2008-05-13,13-May,206,W
2008-05-14,14-May,206,W
2008-05-15,15-May,206,W
2008-05-16,16-May,206,W
2008-05-17,17-May,206,W
2008-05-18,18-May,206,W
2008-05-19,19-May,206,W
2008-05-20,20-May,206,W
2008-05-21,21-May,206,W
2008-05-22,22-May,206,W
2008-05-23,23-May,206,W
2008-05-24,24-May,206,W
2008-05-25,25-May,206,W
2008-05-26,26-May,206,W
2008-05-27,27-May,206,W
2008-05-28,28-May,206,W
2008-05-29,29-May,206,W
2008-05-30,30-May,206,W
2008-05-31,31-May,206,W
2008-06-01,1-Jun,206,W
2008-06-02,2-Jun,206,W
2008-06-03,3-Jun,206,W
2008-06-04,4-Jun,206,W
2008-06-05,5-Jun,206,W
2008-06-06,6-Jun,206,S
2008-06-07,7-Jun,206,S
2008-06-08,8-Jun,206,S
2008-06-09,9-Jun,206,S
2008-06-10,10-Jun,206,S
2008-06-11,11-Jun,206,S
2008-06-12,12-Jun,206,S
2008-06-13,13-Jun,206,S
2008-06-14,14-Jun,206,S
2008-06-15,15-Jun,206,S
2008-06-16,16-Jun,206,S
2008-06-17,17-Jun,206,S
2008-06-18,18-Jun,206,S
2008-06-19,19-Jun,206,S
2008-06-20,20-Jun,206,S
2008-06-21,21-Jun,206,S
2008-06-22,22-Jun,206,S
2008-06-23,23-Jun,206,S
2008-06-24,24-Jun,206,S
2008-06-25,25-Jun,206,S
2008-06-26,26-Jun,206,S
2008-06-27,27-Jun,206,S
2008-06-28,28-Jun,206,S
2008-06-29,29-Jun,206,S
2008-06-30,30-Jun,206,S
2008-07-01,1-Jul,206,S
2008-07-02,2-Jul,206,S
2008-07-03,3-Jul,206,S
2008-07-04,4-Jul,206,S
2008-07-05,5-Jul,206,S
2008-07-06,6-Jul,206,S
2008-07-07,7-Jul,206,S
2008-07-08,8-Jul,206,S
2008-07-09,9-Jul,206,S
2008-07-10,10-Jul,206,S
2008-07-11,11-Jul,206,S
2008-07-12,12-Jul,206,S
2008-07-13,13-Jul,206,S
2008-07-14,14-Jul,206,S
2008-07-15,15-Jul,206,S
2008-07-16,16-Jul,206,S
2008-07-17,17-Jul,206,S
2008-07-18,18-Jul,206,S
2008-07-19,19-Jul,206,S
2008-07-20,20-Jul,206,S
2008-07-21,21-Jul,206,S
2008-07-22,22-Jul,206,S
2008-07-23,23-Jul,206,S
2008-07-24,24-Jul,206,S
2008-07-25,25-Jul,206,S
2008-07-26,26-Jul,206,S
2008-07-27,27-Jul,206,S
2008-07-28,28-Jul,206,S
2008-07-29,29-Jul,206,S
2008-07-30,30-Jul,206,S
2008-07-31,31-Jul,206,S
2008-08-01,1-Aug,206,S
2008-08-02,2-Aug,206,S
2008-08-03,3-Aug,206,S
2008-08-04,4-Aug,206,S
2008-08-05,5-Aug,206,S
2008-08-06,6-Aug,206,S
2008-08-07,7-Aug,206,S
2008-08-08,8-Aug,206,S
2008-08-09,9-Aug,206,S
2008-08-10,10-Aug,206,S
2008-08-11,11-Aug,206,S
2008-08-12,12-Aug,206,S
2008-08-13,13-Aug,206,S
2008-08-14,14-Aug,206,S
2008-08-15,15-Aug,206,S
2008-08-16,16-Aug,206,S
2008-08-17,17-Aug,206,S
2008-08-18,18-Aug,206,S
2008-08-19,19-Aug,206,S
2008-08-20,20-Aug,206,S
2008-08-21,21-Aug,206,S
2008-08-22,22-Aug,206,S
2008-08-23,23-Aug,206,S
2008-08-24,24-Aug,206,S
2008-08-25,25-Aug,206,S
2008-08-26,26-Aug,206,S
2008-08-27,27-Aug,206,S
2008-08-28,28-Aug,206,S
2008-08-29,29-Aug,206,S
2008-08-30,30-Aug,206,S
2008-08-31,31-Aug,206,S
2008-09-01,1-Sep,206,S
2008-09-02,2-Sep,206,S
2008-09-03,3-Sep,206,S
2008-09-04,4-Sep,206,S
2008-09-05,5-Sep,206,S
2008-09-06,6-Sep,206,F
2008-09-07,7-Sep,206,F
2008-09-08,8-Sep,206,F
2008-09-09,9-Sep,206,F
2008-09-10,10-Sep,206,F
2008-09-11,11-Sep,206,F
2008-09-12,12-Sep,206,F
2008-09-13,13-Sep,206,F
2008-09-14,14-Sep,206,F
2008-09-15,15-Sep,206,F
2008-09-16,16-Sep,206,F
2008-09-17,17-Sep,206,F
2008-09-18,18-Sep,206,F
2008-09-19,19-Sep,206,F
2008-09-20,20-Sep,206,F
2008-09-21,21-Sep,206,F
2008-09-22,22-Sep,206,F
2008-09-23,23-Sep,206,F
2008-09-24,24-Sep,206,F
2008-09-25,25-Sep,206,F
2008-09-26,26-Sep,206,F
2008-09-27,27-Sep,206,F
2008-09-28,28-Sep,206,F
2008-09-29,29-Sep,206,F
2008-09-30,30-Sep,206,F
2008-10-01,1-Oct,206,F
2008-10-02,2-Oct,206,F
2008-10-03,3-Oct,206,F
2008-10-04,4-Oct,206,F
2008-10-05,5-Oct,206,F
2008-10-06,6-Oct,206,F
2008-10-07,7-Oct,206,F
2008-10-08,8-Oct,206,F
2008-10-09,9-Oct,206,F
2008-10-10,10-Oct,206,F
